Gene;Signature;Label;Class;Reference;DOI;Geneset_size;Description;Remark;use_ssgsea
CCN1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]";;TRUE
CCN2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500]";;TRUE
CCN5;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cellular communication network factor 5 [Source:HGNC Symbol;Acc:HGNC:12770]";;TRUE
CCNG2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]";;TRUE
CDKN1A;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]";;TRUE
CDKN1B;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]";;TRUE
CDKN1C;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]";;TRUE
CHST2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]";;TRUE
CHST3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"carbohydrate sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:1971]";;TRUE
CITED2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]";;TRUE
COL5A1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]";;TRUE
CP;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]";;TRUE
CSRP2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]";;TRUE
CXCR4;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]";;TRUE
DCN;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"decorin [Source:HGNC Symbol;Acc:HGNC:2705]";;TRUE
DDIT3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]";;TRUE
DDIT4;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]";;TRUE
DPYSL4;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]";;TRUE
DTNA;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]";;TRUE
DUSP1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]";;TRUE
EDN2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]";;TRUE
EFNA1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]";;TRUE
EFNA3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"ephrin A3 [Source:HGNC Symbol;Acc:HGNC:3223]";;TRUE
EGFR;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]";;TRUE
ENO1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]";;TRUE
ENO2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]";;TRUE
ENO3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]";;TRUE
ERO1A;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]";;TRUE
ERRFI1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]";;TRUE
ETS1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]";;TRUE
EXT1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]";;TRUE
F3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]";;TRUE
FAM162A;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]";;TRUE
FBP1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]";;TRUE
FOS;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]";;TRUE
FOSL2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]";;TRUE
FOXO3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]";;TRUE
GAA;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]";;TRUE
GALK1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"galactokinase 1 [Source:HGNC Symbol;Acc:HGNC:4118]";;TRUE
GAPDH;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]";;TRUE
GAPDHS;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:HGNC Symbol;Acc:HGNC:24864]";;TRUE
GBE1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]";;TRUE
GCK;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]";;TRUE
GCNT2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]";;TRUE
GLRX;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]";;TRUE
GPC1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]";;TRUE
GPC3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]";;TRUE
GPC4;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]";;TRUE
GPI;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]";;TRUE
GRHPR;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]";;TRUE
GYS1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"glycogen synthase 1 [Source:HGNC Symbol;Acc:HGNC:4706]";;TRUE
HAS1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"hyaluronan synthase 1 [Source:HGNC Symbol;Acc:HGNC:4818]";;TRUE
HDLBP;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]";;TRUE
HEXA;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]";;TRUE
HK1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]";;TRUE
HK2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]";;TRUE
HMOX1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]";;TRUE
HOXB9;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"homeobox B9 [Source:HGNC Symbol;Acc:HGNC:5120]";;TRUE
HS3ST1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]";;TRUE
HSPA5;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]";;TRUE
IDS;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]";;TRUE
IER3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]";;TRUE
IGFBP1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469]";;TRUE
IGFBP3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]";;TRUE
IL6;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]";;TRUE
ILVBL;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"ilvB acetolactate synthase like [Source:HGNC Symbol;Acc:HGNC:6041]";;TRUE
INHA;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065]";;TRUE
IRS2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]";;TRUE
ISG20;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]";;TRUE
JMJD6;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]";;TRUE
JUN;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]";;TRUE
KDELR3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]";;TRUE
KDM3A;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"lysine demethylase 3A [Source:HGNC Symbol;Acc:HGNC:20815]";;TRUE
KIF5A;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]";;TRUE
KLF6;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]";;TRUE
KLF7;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"Kruppel like factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]";;TRUE
KLHL24;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]";;TRUE
LALBA;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"lactalbumin alpha [Source:HGNC Symbol;Acc:HGNC:6480]";;TRUE
LARGE1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]";;TRUE
LDHA;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]";;TRUE
LDHC;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"lactate dehydrogenase C [Source:HGNC Symbol;Acc:HGNC:6544]";;TRUE
LOX;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]";;TRUE
LXN;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"latexin [Source:HGNC Symbol;Acc:HGNC:13347]";;TRUE
MAFF;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]";;TRUE
MAP3K1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]";;TRUE
MIF;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]";;TRUE
MT1E;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397]";;TRUE
MT2A;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]";;TRUE
MXI1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]";;TRUE
MYH9;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]";;TRUE
NAGK;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174]";;TRUE
NCAN;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"neurocan [Source:HGNC Symbol;Acc:HGNC:2465]";;TRUE
NDRG1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]";;TRUE
NDST1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]";;TRUE
NDST2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"N-deacetylase and N-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:7681]";;TRUE
NEDD4L;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]";;TRUE
NFIL3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]";;TRUE
NOCT;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]";;TRUE
NR3C1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]";;TRUE
P4HA1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]";;TRUE
P4HA2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]";;TRUE
PAM;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]";;TRUE
PCK1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]";;TRUE
PDGFB;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]";;TRUE
PDK1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]";;TRUE
PDK3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]";;TRUE
PFKFB3;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]";;TRUE
PFKL;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]";;TRUE
PFKP;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]";;TRUE
PGAM2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"phosphoglycerate mutase 2 [Source:HGNC Symbol;Acc:HGNC:8889]";;TRUE
PGF;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]";;TRUE
PGK1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]";;TRUE
PGM1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]";;TRUE
PGM2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]";;TRUE
PHKG1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"phosphorylase kinase catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:8930]";;TRUE
PIM1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]";;TRUE
PKLR;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]";;TRUE
PKP1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]";;TRUE
PLAC8;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]";;TRUE
PLAUR;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]";;TRUE
PLIN2;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]";;TRUE
PNRC1;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]";;TRUE
PPARGC1A;H_Hypoxia;Hypoxia(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]";;TRUE
